社名,代表者名,会社URL
株式会社ティア,冨安 徳久,http://www.tear.co.jp
株式会社トーシンホールディングス(旧株式会社トーシン),石田 信文,http://www.toshin-group.com/
株式会社ナ・デックス,桑原 敏郎,http://www.nadex.co.jp/
株式会社ブロンコビリー,竹市 靖公,http://www.bronco.co.jp/
株式会社物語コーポレーション,小林 佳雄,https://www.monogatari.co.jp/
ケイティケイ株式会社,伊藤 主計,https://www.ktk.gr.jp/company
株式会社ダイセキ環境ソリューション,二宮 利彦,http://www.daiseki-eco.co.jp/
株式会社トラスト,伊藤  誠英,https://www.trust-ltd.co.jp/
株式会社中京医薬品,山田 正行,http://www.chukyoiyakuhin.co.jp/
ラクオリア創薬株式会社,谷 直樹,http://www.raqualia.co.jp/
株式会社買取王国,長谷川 和夫,http://www.okoku.jp/
株式会社コメ兵,石原 卓児,https://www.komehyo.co.jp/
株式会社オークローンマーケティング(ショップジャパン),ハリー・A・ ヒル,https://www.oaklawn.co.jp
株式会社メニコン,田中  英成,https://www.menicon.co.jp/
カネ美食品株式会社,三輪 幸太郎,https://www.kanemi-foods.co.jp/
株式会社あいや,杉田 芳男,https://www.matcha.co.jp/
日本教育フォーラム株式会社,尾方 俊男,http://jeforum.jp/
株式会社マキタ,後藤 宗利,https://www.makita.co.jp/index.html
リゾートトラスト株式会社,伏見 有貴,https://www.resorttrust.co.jp/
株式会社アイビス,神谷 栄治,https://www.ibis.ne.jp/
株式会社トキネクト,倉知 礼門,https://tokinect.com/
株式会社ティアフォー,加藤  真平,https://tier4.jp/
カゴメ株式会社,山口 聡,https://www.kagome.co.jp/company/
アイカ工業株式会社,小野 勇治,http://www.aica.co.jp/
シヤチハタ株式会社,舟橋 正剛,https://www.shachihata.co.jp/
ブラザー工業株式会社,佐々木 一郎,https://global.brother/ja
株式会社山田商会,山田 豊久,https://www.ymax.co.jp/
三州食品株式会社,岩月 顕司,http://www.sansyu-egg.co.jp/
佐久間特殊鋼株式会社,佐久間 崇透,https://www.sakuma-ss.co.jp/
株式会社DSG1兼フューチャーベンチャーキャピタル株式会社,澤田 大輔,https://dsg-1.com/
株式会社不動産SHOP ナカジツ,代表取締役会長 鳥居 守 ・取締役社長 樗澤 和樹,https://nakajitsu.jp
株式会社岩田商会,岩田 卓也,https://www.iwata-cc.jp/
株式会社栗田商会,栗田 武明,https://www.kuritashokai.co.jp/
側島製罐株式会社,石川 貴也,https://sobajima.jp/
中埜酒造株式会社,中埜 昌美,https://www.nakanoshuzou.jp
ゼネラルパッカー株式会社,牧野 研二,https://www.general-packer.co.jp
株式会社共豊コーポレーション,中嶋 敬一郎,https://www.kyoho-corp.jp
大浜燃料株式会社,永坂 誠司,https://www.ohama-nenryo.co.jp
西川コミュニケーションズ株式会社,西川 栄一,https://www.nishikawa.jp
ディープラス株式会社,苅谷 大作,https://d-plus.com
ブリッド株式会社,高瀬 嶺生,https://bride-jp.com/
株式会社ヤスヰ,安井 脩之,https://www.y-nt.co.jp
愛知フエルト株式会社,河原 康人,https://aichi-felt.com
ダイニチ食品株式会社,磯貝 幸弘,https://www.dainichi-foods.co.jp
ダイナパック株式会社,齊藤 光次,https://www.dynapac-gr.co.jp/
株式会社滝善,滝 善藏,https://www.takizen.jp/
クロタ精工株式会社,鈴木 泰博,https://www.kurotaseiko.co.jp
株式会社ヤマミ醸造,竹内 加代子,https://yamamijyozo.co.jp
新富士バーナー株式会社,山本 晃,https://shinfuji.co.jp
メイヂ食品株式会社,高野 泰年,https://kenkoutaima.jp/
株式会社サンコール,今牧 亮輔,https://suncall-net.co.jp
株式会社クラウン・パッケージ,佐光 恵藏,https://www.crown-grp.co.jp
株式会社坂角総本舖,坂 泰助,https://www.bankaku.co.jp
日幸ライト工業株式会社,藤井 章良,http://www.nikko-lite.co.jp
美濃窯業株式会社,太田 滋俊,https://www.mino-ceramic.co.jp
東海光学株式会社,古澤 宏和,https://www.tokaiopt.co.jp
株式会社若松屋,佐野 明正,https://www.wakamatsuya.tv
株式会社コムテック,大川 晋悟,https://www.e-comtec.co.jp
加藤軽金属工業株式会社,加藤 大輝,https://katokei.co.jp
株式会社テルミック,田中 秀範,https://www.tel-mic.co.jp
木村建設株式会社,梶野 文哉,http://www.kimura-lan.co.jp
エヌシーオートメーション株式会社,西垣 圭悟,https://www.ncauto.co.jp
株式会社ニデック,小澤 素生,https://www.nidek.co.jp/
株式会社壱番屋,葛原 守,https://www.ichibanya.co.jp/comp/
トーヨーベンディング株式会社,大久保 智司,https://mirubiki-coffee.jp
株式会社イクタ,宮田 浩史,https://ikuta.co.jp
株式会社岡島パイプ製作所,岡島 威彦,https://www.okajima-pipe.co.jp
株式会社マリノ,水野 由太佳,https://www.marino-net.co.jp/
加藤精工株式会社,加藤 聡人,https://www.katoseiko.jp/
深田電機株式会社,深田 理恵,https://fukadadenki.co.jp
クマガイ特殊鋼株式会社,熊谷 憧一郎,https://www.kumagai-steel.co.jp
株式会社トーヨーキッチンスタイル,清本 英嗣,https://www.toyokitchen.co.jp
杉江精機株式会社,加藤 晴康,https://www.sugieseiki.co.jp/
三洲電線株式会社,鈴木 与志成,https://www.sanshu-ew.com
株式会社ブルームダイニングサービス,杉村 明紀,https://www.bloom-ds.com/index.html
株式会社キョクトー,草野 寛和,https://www.kyokutoh.com
株式会社オーエヌトランス,杉江 竜太,https://on-trans.co.jp
ダイセー倉庫運輸株式会社,田中 毅,https://www.ddaisei.co.jp
ノノヤマ洋服株式会社,野々山 雅博,https://www.nonoyama-y.com/
セレンディップ・ホールディングス株式会社,竹内 在,https://www.serendip-c.com
九重味淋株式会社,石川 総彦,https://kokonoe.co.jp
株式会社石昆,石川 哲司,http://www.ishikon.co.jp
東海共立鋼業株式会社,酒井  信昭,http://toukai-k.co.jp/
株式会社DGキャピタルグループ,阿部力也 新海優,https://dgcapitalgroup.jp/
共親製菓株式会社,安部 隆博,https://kyoushin-s.co.jp/
株式会社ジツダヤ,友松 正護,https://www.jitsudaya.com/
瀧定名古屋株式会社,瀧 健太郎,https://www.takisada-nagoya.jp
株式会社わ,松田 考平,https://wa-hd.co.jp/
株式会社あかのれん,伊藤 瑛祐,https://www.akanoren-nagoya.co.jp/
株式会社ナンバホーム,難波 孝憲,https://www.nanbahome.net/
株式会社青柳総本家,後藤 稔貴,https://www.aoyagiuirou.co.jp
ホーユー株式会社,佐々木 義広,https://www.hoyu.co.jp
株式会社福谷,福谷 藤七郎,https://fukutanicorp.com/
Lean Mobility株式会社,谷中 壯弘,https://leanmobility.net/jp
アライブ株式会社,三輪 尚士,https://alive-web.co.jp
千代田電子工業株式会社,伊藤 敏博,https://www.chiyoda-denshi.co.jp
株式会社フリースタイル,青野 豪淑,https://freestyles.jp/
株式会社動力,鈴木 竜宏,https://www.doryoku.co.jp
株式会社イトコー,伊藤 博昭,https://itoko.co.jp/
三共電機株式会社,三橋 進,https://3kyodenki.com
株式会社小島製作所,小島 久典,https://www.kojima-core.co.jp/
株式会社豊環境開発,榊原 康徳,https://www.yutaka-kankyo.com
株式会社セイクン,上野 晃,https://seikun.co.jp
株式会社メルヴェイユ,杉本 幸倫,https://merveille-e.com
三河鉱産株式会社,小川 芳孝,https://www.mikawakousan.co.jp
株式会社松浦商店,松浦 浩人,https://www.obento-matsuura.co.jp/
アイアール株式会社,大山 竜吾,https://www.ir-inc.jp
ワタナベフードソリューション株式会社,渡邊 洋平,https://www.w-fs.jp/
株式会社協同電子,古澤 清次,https://www.kyodo-densi.co.jp/index.html
株式会社ホームランディック,伊岐見 恭子,https://www.homelandick.com/
株式会社波多野工務店,波多野 智章,https://www.hatanokoumuten.co.jp
野々山建設株式会社,野々山 正春,http://nonoyama-group.co.jp
豊中工業株式会社,前川 功冶,https://www.toyonaka-web.com
株式会社ワンダーランド,佐々 佳広,https://www.wond.com
株式会社クロップス・クルー,志村 聡子,https://company.cropscrew.jp/
HISTORIC株式会社,石原 瞳,https://historic.jp
西川毛織株式会社,西川 隆造,https://www.nishikawa-keori.co.jp
株式会社プログレ,西村 和則,https://www.tori-kai.com
愛知調剤株式会社,林 雅人,https://aichichozai.com/
株式会社大和屋守口漬総本家,青木 茂夫,https://www.moriguchizuke.co.jp/
エル・ダブル株式会社,上杉 李,https://www.lwcompany.jp/
株式会社コラボスタイル,松本 洋介,https://corp.collabo-style.co.jp/
筒井工業株式会社,前島 靖浩,https://tsutsuik.co.jp/
株式会社スイレイ,加納 壮浩,https://www.suirei.co.jp/
株式会社石渡,石渡 明彦,https://www.cago.co.jp/
イトーテック株式会社,嵐 成樹,https://www.itotec.co.jp/
株式会社ベンリーコーポレーション,前田 満定,https://www.benry.com/
株式会社イープ,大田 俊幸,https://yeep.jp/
服部工業株式会社,服部 俊男,https://www.hattorikogyo.com/
株式会社メイチュー,中島 光謙,https://www.meichu.co.jp/
株式会社名古屋グランパスエイト,小西 工己,https://nagoya-grampus.jp/
株式会社さんわコーポレーション,古川 翔大,https://www.sanwa-grp.co.jp/
株式会社ISOWA,磯輪 英之,https://www.isowa.co.jp/
イー・バレイ株式会社,池田 徹弘,https://e-valley.co.jp/
豊一豊田青果株式会社,都築 保彦,http://www.tovf.co.jp/
株式会社中部テラオカ,中澤 雅美,https://www.c-teraoka.co.jp/
松永種苗株式会社,松永 真一郎,https://msk-net.co.jp/
株式会社アコラ,川島 直樹,https://www.acora.co.jp/
名南歯科貿易株式会社,新美 洋平,https://www.meinandental.com/
ROYAL YELLOW HLD.,倉知 礼門,https://royal-yellow-hld.com/
株式会社ダイマツウ,平松 朋弥,https://daima-2.co.jp
株式会社ベータテック,大竹 丈夫,https://www.b-tec.jp/index.html
桂新堂株式会社,光田 侑司,https://keishindo-shop.com/
株式会社リンリン　株式会社リッシュプラス,泊 剛史,https://happyrinrin.com
丸太運輸株式会社,髙村 重好,https://www.maruta.co.jp/
株式会社東京足袋本舗,安藤 弘,http://tokyotabi.co.jp/
株式会社太平タイヤ,松井 重幸,https://www.taihei-tire.co.jp
遠山産業株式会社,遠山 卓郎,http://www.toyamasangyo.co.jp
株式会社ジェイアール東海ホテルズ,伊藤 彰彦,https://www.associa.co.jp
アイクリスタル株式会社,髙石 将輝,https://aixtal.com
コーミ株式会社,川澄 亮太,https://www.komi.co.jp
株式会社ガレージ,二村 昌彦,https://garage-garden.com/
株式会社スギヤス,杉浦 安俊,https://bishamon.co.jp
ニイミ産業株式会社,新美 良夫,https://www.niimi-s.co.jp
株式会社オリンピア,加藤 通浩,https://www.olympiashop.co.jp/
株式会社亀屋芳広,花井 芳太朗,https://www.kameya-yoshihiro.co.jp/
株式会社ティア,冨安 徳久,https://www.tear.co.jp/
株式会社大中環境,中島 正則,https://www.dc-env.com
株式会社黒潮,岡本 博貴,https://kuroshio-group.com
株式会社くすむら,柘植  一憲,https://kusumura.co.jp/
株式会社クリッククローバー,倉田 晃揮,https://clickclover.co.jp/
株式会社妙香園,田中 良知,https://myokoen.com
